12.6,12.8,12.5,5.7,class-2
12.5,12.6,12.5,5.9,class-2
11.2,10.2,11.3,9.1,class-2
12.5,12.6,12.4,6.0,class-2
11.8,11.4,9.1,6.7,class-2
9.1,5.9,8.2,13.9,class-3
12.6,13.8,5.3,2.6,class-2
7.6,8.3,11.4,14.3,class-1
11.9,11.5,8.7,6.4,class-2
13.7,9.5,7.5,6.0,class-3
14.8,9.7,8.0,4.9,class-3
8.0,10.3,10.3,11.8,class-3
9.0,12.8,12.7,9.3,class-3
12.8,14.0,6.1,2.5,class-2
9.3,9.0,12.5,12.2,class-1
11.9,11.8,10.1,6.6,class-2
7.6,7.9,8.8,13.9,class-1
14.3,9.4,8.2,5.7,class-3
8.2,7.9,9.0,13.4,class-1
12.4,12.9,7.0,4.2,class-2
8.0,7.8,12.2,14.7,class-1
12.2,8.0,8.2,9.1,class-3
8.1,12.0,12.2,10.8,class-3
8.0,8.1,11.7,14.1,class-1
12.2,8.3,7.7,8.6,class-3
8.8,11.6,12.1,10.4,class-3
7.2,12.0,11.8,11.6,class-3
9.8,7.3,7.7,11.8,class-1
6.9,10.8,11.2,12.7,class-3
12.5,13.3,11.7,5.1,class-2
12.1,12.7,7.7,4.8,class-2
7.5,7.8,11.9,15.0,class-1
14.0,9.1,8.1,6.2,class-3
11.5,11.9,8.4,6.3,class-2
11.8,11.9,8.8,6.2,class-2
8.9,12.4,12.1,9.5,class-3
11.5,13.8,11.2,5.5,class-2
11.7,7.6,8.3,10.0,class-3
8.0,12.0,12.1,10.8,class-3
12.0,8.3,7.8,8.8,class-3
12.0,12.3,12.0,6.5,class-2
13.4,11.2,13.7,6.6,class-2
8.7,12.0,12.0,10.1,class-3
12.0,12.2,8.4,5.6,class-2
9.6,6.7,9.7,13.2,class-1
12.1,8.2,7.9,8.9,class-3
12.6,12.5,12.4,5.9,class-2
8.0,13.8,13.0,9.6,class-3
8.0,8.2,11.6,14.1,class-1
6.9,9.1,7.9,13.2,class-1
9.9,9.3,13.4,11.7,class-1
13.7,9.6,7.6,6.0,class-3
7.2,8.5,8.8,13.8,class-1
7.7,8.0,7.6,13.3,class-1
7.5,8.2,11.4,14.5,class-1
6.8,12.7,12.7,11.6,class-3
8.4,9.8,11.0,12.1,class-3
11.3,12.0,11.1,7.3,class-2
9.0,7.5,6.6,12.2,class-1
7.4,8.6,7.4,13.1,class-1
11.6,11.6,8.0,6.3,class-2
7.2,8.6,8.5,13.6,class-1
7.2,7.3,11.6,15.6,class-1
8.6,8.5,11.9,13.3,class-1
12.8,11.9,12.7,6.4,class-2
7.4,11.6,12.2,11.8,class-3
8.7,7.5,13.2,14.5,class-1
6.7,7.5,10.9,15.7,class-1
8.5,11.9,11.9,10.4,class-3
8.7,8.5,12.5,13.3,class-1
12.4,12.3,7.4,4.8,class-2
5.2,9.9,8.4,14.4,class-1
7.7,7.9,11.9,14.6,class-1
8.1,8.0,9.0,13.4,class-1
13.5,8.0,8.9,8.0,class-3
7.3,8.3,11.2,14.5,class-1
6.8,9.2,7.3,13.0,class-1
10.3,11.7,11.6,8.6,class-3
11.8,7.6,8.0,9.7,class-3
11.5,11.5,8.7,6.8,class-2
12.9,9.2,7.5,7.1,class-3
6.2,8.9,7.4,14.0,class-1
8.7,7.7,7.7,12.7,class-1
11.9,12.8,7.7,4.9,class-2
7.4,8.3,7.4,13.3,class-1
11.2,12.1,11.3,7.3,class-2
6.6,9.1,7.1,13.3,class-1
12.5,8.1,8.2,8.7,class-3
6.1,13.6,13.0,11.6,class-3
12.5,11.2,12.5,7.2,class-2
12.6,12.0,9.4,5.4,class-2
11.9,12.4,7.2,5.1,class-2
11.6,7.6,8.3,10.0,class-3
12.4,13.3,8.4,4.3,class-2
12.1,8.0,8.1,9.1,class-3
11.3,6.9,8.4,11.0,class-3
11.3,11.0,11.0,8.1,class-2
9.0,8.5,12.8,13.2,class-1
12.4,12.3,12.2,6.2,class-2
13.8,9.4,7.9,6.1,class-3
12.2,12.6,9.1,5.3,class-2
12.2,12.5,9.6,5.4,class-2
13.1,8.5,8.0,7.6,class-3
12.8,8.5,7.7,7.9,class-3
12.5,8.4,7.9,8.3,class-3
7.2,8.6,7.6,13.3,class-1
6.2,11.7,11.6,12.8,class-3
8.1,9.0,11.5,13.2,class-1
11.4,7.8,7.7,9.8,class-3
8.6,8.0,12.6,14.0,class-1
10.0,6.8,8.4,12.3,class-1
9.7,7.4,14.1,13.8,class-1
7.5,8.5,11.0,14.1,class-1
11.6,12.9,10.8,6.1,class-2
12.1,12.2,11.8,6.5,class-2
11.6,12.3,11.6,6.9,class-2
7.4,8.1,10.1,14.3,class-1
12.8,13.3,12.5,5.0,class-2
11.4,11.0,8.0,7.1,class-2
11.2,11.0,9.7,7.8,class-2
6.5,13.2,12.6,11.5,class-3
12.6,11.6,12.5,6.7,class-2
8.3,11.2,11.6,11.1,class-3
6.4,9.1,8.1,13.8,class-1
13.0,12.3,13.1,5.9,class-2
10.9,7.4,8.0,10.8,class-3
8.7,8.0,7.1,12.2,class-1
6.1,9.2,6.8,13.7,class-1
8.2,8.1,8.9,13.1,class-1
8.2,11.1,11.5,11.3,class-3
14.0,8.8,8.5,6.6,class-3
12.8,12.0,12.7,6.3,class-2
12.6,13.7,8.2,3.6,class-2
8.0,8.2,12.0,14.1,class-1
8.5,8.3,12.0,13.6,class-1
10.5,6.4,8.6,12.3,class-1
7.6,8.0,11.4,14.6,class-1
7.8,11.4,11.6,11.4,class-3
9.5,10.5,10.7,10.3,class-3
12.2,12.7,7.2,4.6,class-2
12.4,11.0,12.6,7.6,class-2
11.6,11.6,12.0,7.7,class-2
9.5,7.3,8.9,12.6,class-1
8.5,7.8,8.9,13.0,class-1
8.0,7.2,13.0,15.4,class-1
12.4,13.0,7.4,4.2,class-2
9.0,7.4,8.4,12.8,class-1
11.4,8.1,7.5,9.5,class-3
7.0,12.1,12.2,11.8,class-3
12.1,12.5,7.2,4.9,class-2
12.2,8.4,7.8,8.6,class-3
8.9,7.9,12.7,13.8,class-1
7.2,11.7,12.0,11.8,class-3
7.4,8.2,11.4,14.5,class-1
12.4,11.5,13.0,7.2,class-2
7.0,8.6,8.9,13.9,class-1
12.0,13.3,11.6,5.6,class-2
13.5,8.6,8.3,7.2,class-3
7.7,11.6,11.8,11.4,class-3
12.0,7.6,8.4,9.6,class-3
11.8,8.0,8.0,9.4,class-3
10.6,11.2,11.9,8.9,class-3
8.8,8.3,12.8,13.6,class-1
12.1,12.8,7.7,4.7,class-2
9.9,6.4,8.4,12.8,class-3
11.1,7.4,8.3,10.7,class-3
12.4,13.0,6.8,4.1,class-2
9.6,11.1,11.7,9.9,class-3
13.0,8.8,7.9,7.4,class-3
8.1,8.0,6.9,12.7,class-1
10.3,6.5,8.3,12.2,class-3
10.9,7.1,8.2,11.1,class-3
11.9,8.2,8.0,9.1,class-3
6.6,7.3,11.2,16.1,class-1
11.5,7.5,8.2,10.2,class-3
11.8,11.5,8.9,6.6,class-2
6.4,9.3,8.6,13.8,class-1
12.3,10.8,12.4,7.7,class-2
13.5,11.7,13.9,6.1,class-2
12.2,10.2,13.0,8.6,class-2
8.9,9.9,11.1,11.6,class-3
11.4,11.0,8.7,7.3,class-2
13.1,8.4,8.4,7.9,class-3
9.8,6.7,7.8,12.4,class-3
12.4,12.5,9.5,5.2,class-2
11.7,12.5,11.3,6.6,class-2
8.0,7.8,12.2,14.7,class-1
12.1,12.7,7.8,4.9,class-2
12.5,12.1,12.0,6.3,class-2
11.7,11.2,12.2,7.9,class-2
11.5,12.6,11.4,6.7,class-2
8.2,7.8,12.4,14.5,class-1
11.6,7.7,8.0,9.9,class-3
11.8,12.0,7.0,5.5,class-2
11.6,12.5,11.5,6.7,class-2
14.8,9.8,8.1,4.8,class-3
9.8,8.5,13.5,12.6,class-1
7.6,11.0,11.7,12.0,class-3
12.2,12.3,8.4,5.2,class-2
8.7,8.5,12.4,13.3,class-1
7.4,7.6,12.0,15.3,class-1
12.5,10.6,13.1,7.9,class-2
7.3,7.1,11.8,15.8,class-1
8.9,14.1,12.9,8.3,class-3
12.5,13.1,8.2,4.2,class-2
9.1,7.4,7.9,12.6,class-1
11.4,9.9,11.7,9.2,class-2
7.4,8.4,8.1,13.4,class-1
8.0,8.4,11.4,13.8,class-1
12.4,12.7,11.5,5.7,class-2
12.1,12.8,9.5,5.3,class-2
8.3,8.4,12.2,13.7,class-1
8.5,8.1,12.5,13.8,class-1
5.6,9.6,8.0,14.2,class-1
6.8,7.9,10.7,15.2,class-1
11.9,13.6,11.6,5.3,class-2
8.4,13.0,12.8,9.8,class-3
8.0,7.9,12.2,14.5,class-1
12.6,12.0,12.6,6.4,class-2
11.6,11.4,11.6,7.6,class-2
5.7,13.5,13.1,12.1,class-3
6.7,9.1,6.5,13.1,class-1
13.0,11.6,13.6,6.7,class-2
7.9,7.6,12.0,14.8,class-1
5.8,9.6,5.9,13.3,class-1
6.5,13.8,13.1,11.1,class-3
12.0,12.2,11.4,6.4,class-2
12.3,13.8,12.0,4.9,class-2
9.9,6.9,7.7,12.2,class-3
10.4,6.9,8.0,11.7,class-3
6.7,12.8,12.5,11.5,class-3
9.6,8.5,12.9,12.7,class-2
8.5,7.2,13.2,14.9,class-1
8.8,7.6,9.3,13.1,class-1
9.9,12.2,12.4,8.9,class-3
11.3,11.3,8.2,7.1,class-2
8.3,8.8,11.7,13.3,class-1
8.0,7.4,12.6,15.1,class-1
10.3,11.9,12.3,8.8,class-3
12.6,8.1,8.4,8.6,class-3
11.8,11.8,11.8,7.2,class-2
